Class,Feature,Value,Likelihood
1,1,1,0.333333333333333
1,1,2,0.333333333333333
1,1,3,0.333333333333333
1,2,1,0.166666666666667
1,2,2,0.333333333333333
1,2,3,0.5
1,3,1,0.166666666666667
1,3,2,0.833333333333333
1,4,1,0.333333333333333
1,4,2,0.666666666666667
2,1,2,0.5
2,1,3,0.5
2,2,1,0.25
2,2,2,0.25
2,2,3,0.5
2,3,1,0.75
2,3,2,0.25
2,4,1,0.5
2,4,2,0.5
