Class,Feature,Value,Likelihood
1,1,1,0.333333333333333
1,1,2,0.333333333333333
1,1,3,0.333333333333333
1,2,1,0.222222222222222
1,2,2,0.333333333333333
1,2,3,0.444444444444444
1,3,1,0.25
1,3,2,0.75
1,4,1,0.375
1,4,2,0.625
2,1,1,0.142857142857143
2,1,2,0.428571428571429
2,1,3,0.428571428571429
2,2,1,0.285714285714286
2,2,2,0.285714285714286
2,2,3,0.428571428571429
2,3,1,0.666666666666667
2,3,2,0.333333333333333
2,4,1,0.5
2,4,2,0.5
